Feature A,Feature B,Corr Class 0,Corr Class 1,Max Difference
dups,imp_wd,0.0018471879228664017,0.8964659456915373,0.8946187577686708
dups,imp_wd_dpath,0.009449094855973427,0.8959166280828299,0.8864675332268565
dups,edit_distance_dict_2,0.009082331366635865,0.8842434856643473,0.8751611542977115
dups,edit_distance_unique_dict_2,0.009082331366635865,0.8842434856643473,0.8751611542977115
ann_to_shorter,dups,0.01262531447061952,0.8671585709950326,0.854533256524413
edit_distance_dict_0,edit_distance_dict_9,0.03743027980477613,0.8897288620738764,0.8522985822691003
edit_distance_unique_dict_0,edit_distance_unique_dict_9,0.03743027980477613,0.8897288620738764,0.8522985822691003
edit_distance_dict_0,edit_distance_unique_dict_9,0.03743027980477613,0.8897288620738764,0.8522985822691003
edit_distance_dict_9,edit_distance_unique_dict_0,0.03743027980477614,0.8897288620738762,0.8522985822691002
edit_distance_dict_5,edit_distance_dict_9,0.08878994020569018,0.9400170229668151,0.8512270827611249
edit_distance_dict_5,edit_distance_unique_dict_9,0.08878994020569018,0.9400170229668151,0.8512270827611249
edit_distance_unique_dict_5,edit_distance_unique_dict_9,0.08878994020569018,0.9400170229668151,0.8512270827611249
edit_distance_dict_9,edit_distance_unique_dict_5,0.0887899402056902,0.9400170229668151,0.8512270827611249
announcements,dups,0.0708595419619051,0.920785493614177,0.8499259516522719
edit_distance_unique_dict_2,edit_distance_unique_dict_9,0.11569695515381707,0.9648964299614273,0.8491994748076103
edit_distance_dict_9,edit_distance_unique_dict_2,0.11569695515381707,0.9648964299614273,0.8491994748076103
edit_distance_dict_2,edit_distance_unique_dict_9,0.11569695515381707,0.9648964299614273,0.8491994748076103
edit_distance_dict_2,edit_distance_dict_9,0.11569695515381707,0.9648964299614273,0.8491994748076103
ann_to_longer,dups,0.02192700847390874,0.8646079454391191,0.8426809369652104
dups,edit_distance_unique_dict_5,0.0071629026719867255,0.8474192344599257,0.840256331787939
dups,edit_distance_dict_5,0.0071629026719867255,0.8474192344599257,0.840256331787939
dups,edit_distance_dict_1,0.013506344823195503,0.8526699807888949,0.8391636359656994
dups,edit_distance_unique_dict_1,0.013506344823195503,0.8526699807888949,0.8391636359656994
ann_to_longer,edit_distance_dict_9,0.1297797630024647,0.9592641857222521,0.8294844227197875
ann_to_longer,edit_distance_unique_dict_9,0.1297797630024647,0.9592641857222521,0.8294844227197875
dups,edit_distance_dict_3,0.04751482099726304,0.8698873247107637,0.8223725037135007
dups,edit_distance_unique_dict_3,0.04751482099726304,0.8698873247107637,0.8223725037135007
edit_distance_dict_9,flaps,0.12013480403682804,0.9289856674541663,0.8088508634173383
edit_distance_unique_dict_9,flaps,0.12013480403682804,0.9289856674541663,0.8088508634173383
dups,flaps,0.008264942511743121,0.8137378990098865,0.8054729564981433
edit_distance_dict_9,edit_distance_unique_dict_1,0.05980499162379107,0.8635389656051304,0.8037339739813394
edit_distance_dict_1,edit_distance_unique_dict_9,0.059804991623791076,0.8635389656051304,0.8037339739813394
edit_distance_unique_dict_1,edit_distance_unique_dict_9,0.059804991623791076,0.8635389656051304,0.8037339739813394
edit_distance_dict_1,edit_distance_dict_9,0.059804991623791076,0.8635389656051304,0.8037339739813394
dups,edit_distance_dict_9,0.010787100042060549,0.8095406418272054,0.7987535417851449
dups,edit_distance_unique_dict_9,0.010787100042060549,0.8095406418272054,0.7987535417851449
edit_distance_dict_1,edit_distance_unique_dict_0,0.11390640185723558,0.9118514808623989,0.7979450790051633
edit_distance_dict_0,edit_distance_dict_1,0.1139064018572356,0.9118514808623989,0.7979450790051632
edit_distance_dict_0,edit_distance_unique_dict_1,0.1139064018572356,0.9118514808623989,0.7979450790051632
edit_distance_unique_dict_0,edit_distance_unique_dict_1,0.1139064018572356,0.9118514808623989,0.7979450790051632
edit_distance_unique_dict_9,imp_wd,0.17349689416883415,0.9568574768754613,0.7833605827066271
edit_distance_dict_9,imp_wd,0.17349689416883415,0.9568574768754613,0.7833605827066271
dups,edit_distance_unique_dict_0,0.18812987837472236,0.9610465542339189,0.7729166758591965
dups,edit_distance_dict_0,0.18812987837472236,0.9610465542339189,0.7729166758591965
announcements,edit_distance_unique_dict_9,0.17588106519336985,0.9442798898812775,0.7683988246879077
announcements,edit_distance_dict_9,0.17588106519336985,0.9442798898812775,0.7683988246879077
edit_distance_dict_1,flaps,0.14702681748355495,0.914204679101862,0.767177861618307
edit_distance_unique_dict_1,flaps,0.14702681748355495,0.914204679101862,0.767177861618307
edit_distance_dict_9,imp_wd_dpath,0.19550724447021836,0.9598470903122941,0.7643398458420757
edit_distance_unique_dict_9,imp_wd_dpath,0.19550724447021836,0.9598470903122941,0.7643398458420757
edit_distance_dict_0,flaps,0.16737975128779428,0.9200707719892661,0.7526910207014719
edit_distance_unique_dict_0,flaps,0.16737975128779428,0.9200707719892661,0.7526910207014719
dups,origin_2,0.030887672008514753,0.7583162143270841,0.7274285423185693
