Feature_Selection_Method,Model,Features,Eval,Accuracy,Precision,Recall,F1 Score
Random Forest Importance,Random Forest,48,Train-Test,0.8815068493150685,0.8841894708595768,0.8815068493150685,0.881299641567965
Random Forest Importance,Random Forest,48,Cross-Validation,0.8804812829203714,0.8837482038693085,0.8804812829203714,0.8802263236946345
Random Forest Importance,Random Forest,43,Train-Test,0.8780821917808219,0.8813915453285782,0.8780821917808219,0.8778171450923752
Random Forest Importance,Random Forest,43,Cross-Validation,0.8800712629216859,0.8833729162783769,0.8800712629216859,0.879815278886203
Random Forest Importance,Random Forest,38,Train-Test,0.8821917808219178,0.8859462286532908,0.8821917808219178,0.8819045755863387
Random Forest Importance,Random Forest,38,Cross-Validation,0.878425643384942,0.8818364838886508,0.878425643384942,0.8781560025143375
Random Forest Importance,Random Forest,33,Train-Test,0.8753424657534247,0.8790296295734827,0.8753424657534247,0.8750385625390329
Random Forest Importance,Random Forest,33,Cross-Validation,0.8759586693832329,0.8793469221037198,0.8759586693832329,0.8756841230801286
Random Forest Importance,Random Forest,28,Train-Test,0.8726027397260274,0.876905788738383,0.8726027397260274,0.8722380824232799
Random Forest Importance,Random Forest,28,Cross-Validation,0.8748625911911893,0.878175843232284,0.8748625911911893,0.8745880584285801
Random Forest Importance,Random Forest,23,Train-Test,0.876027397260274,0.8811956056498788,0.876027397260274,0.8756057664018829
Random Forest Importance,Random Forest,23,Cross-Validation,0.8723949599556837,0.8758674726299415,0.8723949599556837,0.8721007015191864
Random Forest Importance,Random Forest,18,Train-Test,0.8595890410958904,0.8642984652412211,0.8595890410958904,0.859133783371009
Random Forest Importance,Random Forest,18,Cross-Validation,0.8612938116743502,0.8650090779608242,0.8612938116743502,0.8609392047371053
Random Forest Importance,Random Forest,13,Train-Test,0.8650684931506849,0.8683594659739197,0.8650684931506849,0.8647664444746406
Random Forest Importance,Random Forest,13,Cross-Validation,0.8556736176964895,0.8582467243899659,0.8556736176964895,0.8554160170704275
Random Forest Importance,Random Forest,8,Train-Test,0.834931506849315,0.8389005029820055,0.834931506849315,0.8344467922830919
Random Forest Importance,Random Forest,8,Cross-Validation,0.8325108208850123,0.8350612786330496,0.8325108208850123,0.83219032635204
Random Forest Importance,Random Forest,3,Train-Test,0.75,0.7528127733784212,0.75,0.7493026907738781
Random Forest Importance,Random Forest,3,Cross-Validation,0.7482187086294798,0.7495839593448773,0.7482187086294798,0.7478675080787326
Random Forest Importance,XGBoost,48,Train-Test,0.9,0.900432819110166,0.9,0.8999729707408268
Random Forest Importance,XGBoost,48,Cross-Validation,0.8981633132094604,0.8987737967717034,0.8981633132094604,0.8981240554790719
Random Forest Importance,XGBoost,43,Train-Test,0.9034246575342466,0.9037587870615391,0.9034246575342466,0.9034046732317953
Random Forest Importance,XGBoost,43,Cross-Validation,0.9017262715126705,0.9025072446941212,0.9017262715126705,0.9016752915584194
