Class Dataset,Features,Model,Accuracy,Precision,Recall,F1 Score
Class 1,48,Random Forest,0.9260780287474333,0.9263331687157228,0.9260780287474333,0.9260649352808652
Class 1,43,Random Forest,0.9301848049281314,0.9309057911151047,0.9301848049281314,0.9301524078125349
Class 1,38,Random Forest,0.917864476386037,0.9183105213774969,0.917864476386037,0.9178395330835493
Class 1,33,Random Forest,0.9219712525667351,0.923790981653106,0.9219712525667351,0.9218816552208138
Class 1,28,Random Forest,0.9219712525667351,0.9226776663668687,0.9219712525667351,0.9219350440257744
Class 1,23,Random Forest,0.9240246406570842,0.9260911874748966,0.9240246406570842,0.9239264816925337
Class 1,18,Random Forest,0.9137577002053389,0.9144495416186327,0.9137577002053389,0.9137176802390139
Class 1,13,Random Forest,0.9137577002053389,0.9141990295470133,0.9137577002053389,0.9137315097377268
Class 1,8,Random Forest,0.8993839835728953,0.8994420728412408,0.8993839835728953,0.8993788923777719
Class 1,3,Random Forest,0.7946611909650924,0.794684533578904,0.7946611909650924,0.7946594593755943
Class 1,48,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,43,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,38,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,33,XGBoost,0.9301848049281314,0.9306449968689473,0.9301848049281314,0.9301636031210169
Class 1,28,XGBoost,0.9240246406570842,0.9245990149480909,0.9240246406570842,0.9239957976521327
Class 1,23,XGBoost,0.9301848049281314,0.9302985741022558,0.9301848049281314,0.9301789169280072
Class 1,18,XGBoost,0.9240246406570842,0.9242003127170564,0.9240246406570842,0.9240150289169202
Class 1,13,XGBoost,0.919917864476386,0.9202604886894491,0.919917864476386,0.9198989504948618
Class 1,8,XGBoost,0.8952772073921971,0.8954395394633942,0.8952772073921971,0.8952639587773766
Class 1,3,XGBoost,0.7351129363449692,0.7389180441038177,0.7351129363449692,0.734000196430316
Class 2,48,Random Forest,0.917864476386037,0.9234468267991022,0.917864476386037,0.9175822667233031
Class 2,43,Random Forest,0.9158110882956879,0.9226428126133677,0.9158110882956879,0.9154574267724259
Class 2,38,Random Forest,0.9117043121149897,0.9168112625684778,0.9117043121149897,0.9114219272765225
Class 2,33,Random Forest,0.9117043121149897,0.9160733905736596,0.9117043121149897,0.9114616317941123
