Feature,Score
rare_ases_max,108.2644879115069
edit_distance_dict_1,92.57488471750851
edit_distance_unique_dict_1,92.57488471750851
imp_wd,88.68114712606409
imp_wd_spath,88.09017488573684
rare_ases_avg,86.35028923179543
nlri_ann,85.3255847370292
announcements,65.43998635545059
edit_distance_dict_0,61.29713124766007
edit_distance_unique_dict_0,61.29713124766007
unique_as_path_max,55.75999956536654
unique_as_path_avg,52.46611732734367
origin_0,50.23391820109185
imp_wd_dpath,39.19493020310633
edit_distance_avg,35.08937946576958
edit_distance_unique_dict_2,23.161493644365336
edit_distance_dict_2,23.161493644365336
edit_distance_dict_5,17.07377243529178
edit_distance_unique_dict_5,17.07377243529178
edit_distance_dict_7,12.81701560288938
edit_distance_unique_dict_7,12.81701560288938
edit_distance_dict_6,11.790876472639109
edit_distance_unique_dict_6,11.790876472639109
ann_to_longer,11.199792916937172
dups,10.861986725514878
ann_to_shorter,10.615614490080088
edit_distance_dict_3,7.4525264527246895
edit_distance_unique_dict_3,7.4525264527246895
edit_distance_unique_dict_10,5.057211162954261
edit_distance_dict_10,5.057211162954261
edit_distance_unique_dict_4,4.944759096617361
edit_distance_dict_4,4.944759096617361
nadas,4.481352244586274
withdrawals,4.429006134270287
flaps,3.8321630708222036
news,3.6681761412923777
origin_1,3.582012126858139
as_path_avg,1.5746817482765
number_rare_ases,1.395952694924455
as_path_max,1.0851240251680772
edit_distance_unique_dict_8,1.0731417006826502
edit_distance_dict_8,1.0731417006826502
wd_dups,1.0148439892754695
origin_changes,0.9361151008486477
origin_2,0.49420571007821357
edit_distance_unique_dict_9,0.46495295749291043
edit_distance_dict_9,0.46495295749291043
edit_distance_max,0.05072149680786215
