Feature,Score
edit_distance_unique_dict_1,0.25727440666343554
nlri_ann,0.16709674297887564
flaps,0.14598124087986247
dups,0.07725445823285766
imp_wd_spath,0.046295794525598594
imp_wd_dpath,0.03253876156380633
origin_0,0.029836482081101283
announcements,0.027101758784076196
origin_changes,0.01747968665052927
edit_distance_unique_dict_6,0.016700567001377377
unique_as_path_max,0.014115867854506515
edit_distance_unique_dict_9,0.013727444959306914
edit_distance_avg,0.011214707029657692
edit_distance_dict_6,0.009822800255633165
rare_ases_avg,0.008892777011222786
edit_distance_dict_0,0.008777793977937357
ann_to_shorter,0.00833561036878909
edit_distance_unique_dict_5,0.007983386848106294
nadas,0.007369085931446868
unique_as_path_avg,0.0071736530135750026
edit_distance_dict_2,0.0069751518009578215
edit_distance_unique_dict_3,0.006926255894588238
edit_distance_unique_dict_4,0.0067060725993511585
edit_distance_max,0.006656793034215612
news,0.006312558006916806
withdrawals,0.0055196827514084265
imp_wd,0.005191795313619424
as_path_avg,0.004504764535710368
ann_to_longer,0.004130518787122846
number_rare_ases,0.003799216266084877
as_path_max,0.0037703523248420663
edit_distance_unique_dict_2,0.003684662499277474
edit_distance_dict_3,0.0033782415301583366
edit_distance_dict_7,0.0030848337203253275
rare_ases_max,0.002730649107991679
edit_distance_dict_1,0.002322698330597895
origin_1,0.0018850555938222532
edit_distance_dict_4,0.0017627621259001874
edit_distance_unique_dict_0,0.0017534844305007124
edit_distance_unique_dict_7,0.0016072309601072123
origin_2,0.0013710372090334788
edit_distance_dict_8,0.000953156565765763
edit_distance_unique_dict_10,0.0
edit_distance_dict_10,0.0
edit_distance_dict_5,0.0
edit_distance_dict_9,0.0
wd_dups,0.0
edit_distance_unique_dict_8,0.0
