Feature,Score
imp_wd_spath,1.8901797320585275e-05
nlri_ann,1.3530844293009736e-05
imp_wd,1.0592490016704011e-05
edit_distance_dict_1,8.408464561508003e-06
withdrawals,1.3286099525554346e-06
edit_distance_unique_dict_1,3.687750562545201e-07
dups,0.0
ann_to_shorter,0.0
edit_distance_unique_dict_0,0.0
edit_distance_max,0.0
edit_distance_dict_9,0.0
edit_distance_dict_8,0.0
edit_distance_dict_7,0.0
edit_distance_dict_6,0.0
edit_distance_dict_5,0.0
edit_distance_dict_4,0.0
edit_distance_avg,0.0
announcements,0.0
edit_distance_dict_3,0.0
edit_distance_unique_dict_10,0.0
as_path_avg,0.0
edit_distance_dict_10,0.0
as_path_max,0.0
edit_distance_dict_0,0.0
edit_distance_dict_2,0.0
edit_distance_unique_dict_3,0.0
edit_distance_unique_dict_2,0.0
wd_dups,0.0
unique_as_path_max,0.0
unique_as_path_avg,0.0
rare_ases_max,0.0
rare_ases_avg,0.0
origin_changes,0.0
origin_2,0.0
origin_1,0.0
origin_0,0.0
number_rare_ases,0.0
news,0.0
nadas,0.0
imp_wd_dpath,0.0
flaps,0.0
edit_distance_unique_dict_9,0.0
edit_distance_unique_dict_8,0.0
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_5,0.0
edit_distance_unique_dict_4,0.0
ann_to_longer,0.0
