Feature,Score
edit_distance_dict_1,0.19342679094147264
edit_distance_unique_dict_1,0.18016561870336112
imp_wd_spath,0.1710940612325229
origin_0,0.15492995289489797
imp_wd_dpath,0.14959826441138158
imp_wd,0.12191126093376026
announcements,0.11244066542738285
nlri_ann,0.10173460436177106
flaps,0.10148116807870733
dups,0.08107054985628848
rare_ases_avg,0.06409293285348938
ann_to_shorter,0.05981911058932976
edit_distance_unique_dict_3,0.0547852778279303
ann_to_longer,0.05452113437710726
edit_distance_dict_2,0.05161246496048255
edit_distance_unique_dict_2,0.046654912404478166
nadas,0.04455977602902683
edit_distance_dict_3,0.0436354142475317
origin_2,0.04196587362899029
withdrawals,0.041762545164040654
edit_distance_unique_dict_4,0.037020735177232034
edit_distance_dict_4,0.036331401518671536
rare_ases_max,0.034934301839979254
edit_distance_unique_dict_0,0.033621827266524296
origin_changes,0.03328722931732986
edit_distance_dict_0,0.03090761497042771
number_rare_ases,0.030594051757156793
edit_distance_dict_6,0.02985089034388211
edit_distance_unique_dict_6,0.02878848901811004
edit_distance_unique_dict_5,0.028374393368683748
edit_distance_dict_5,0.025763253143752163
edit_distance_dict_7,0.024632873311072334
news,0.02435694329252991
as_path_max,0.016468058071750447
edit_distance_max,0.016399554654539905
edit_distance_dict_10,0.013788998608973424
edit_distance_unique_dict_8,0.010256358416136369
edit_distance_unique_dict_10,0.009989066629270127
unique_as_path_max,0.009869493366444937
origin_1,0.009517658887931546
edit_distance_unique_dict_9,0.009374254975631935
edit_distance_dict_8,0.008739059956073714
edit_distance_avg,0.005666797680254687
as_path_avg,0.005403356309618523
edit_distance_dict_9,0.00019187986496516096
unique_as_path_avg,2.733845172309124e-05
wd_dups,0.0
edit_distance_unique_dict_7,0.0
