Feature,Score
withdrawals,-1
wd_dups,-1
edit_distance_unique_dict_10,-1
edit_distance_unique_dict_1,-1
edit_distance_unique_dict_0,-1
edit_distance_max,-1
edit_distance_dict_9,-1
edit_distance_dict_8,-1
edit_distance_dict_7,-1
edit_distance_dict_6,-1
edit_distance_dict_5,-1
edit_distance_dict_4,-1
edit_distance_dict_3,-1
edit_distance_dict_2,-1
edit_distance_dict_10,-1
edit_distance_dict_1,-1
edit_distance_dict_0,-1
edit_distance_avg,-1
dups,-1
as_path_max,-1
as_path_avg,-1
announcements,-1
ann_to_shorter,-1
edit_distance_unique_dict_2,-1
edit_distance_unique_dict_3,-1
edit_distance_unique_dict_4,-1
nlri_ann,-1
unique_as_path_max,-1
unique_as_path_avg,-1
rare_ases_max,-1
rare_ases_avg,-1
origin_changes,-1
origin_2,-1
origin_1,-1
origin_0,-1
number_rare_ases,-1
news,-1
edit_distance_unique_dict_5,-1
nadas,-1
imp_wd_spath,-1
imp_wd_dpath,-1
imp_wd,-1
flaps,-1
edit_distance_unique_dict_9,-1
edit_distance_unique_dict_8,-1
edit_distance_unique_dict_7,-1
edit_distance_unique_dict_6,-1
ann_to_longer,-1
