Feature,Score
wd_dups,0.17420483
imp_wd_dpath,0.16520846
nlri_ann,0.16029212
unique_as_path_max,0.054589625
origin_2,0.033379707
origin_0,0.028370935
flaps,0.025107501
unique_as_path_avg,0.023981007
imp_wd_spath,0.023237811
dups,0.022324169
edit_distance_dict_4,0.017890388
nadas,0.017250737
withdrawals,0.016883437
edit_distance_dict_9,0.016670596
edit_distance_dict_10,0.016498664
rare_ases_avg,0.016450867
edit_distance_dict_3,0.015109411
as_path_max,0.01505527
news,0.012252101
ann_to_shorter,0.011413452
edit_distance_max,0.010722635
origin_changes,0.010574234
edit_distance_dict_1,0.010514029
edit_distance_dict_0,0.010297224
edit_distance_avg,0.010278232
origin_1,0.010015002
ann_to_longer,0.009717285
imp_wd,0.009256098
edit_distance_dict_2,0.008811839
edit_distance_dict_8,0.008704958
edit_distance_dict_7,0.0077924174
edit_distance_dict_5,0.0056212153
announcements,0.0056170817
number_rare_ases,0.0055743665
edit_distance_dict_6,0.0054240637
as_path_avg,0.004908255
edit_distance_unique_dict_8,0.0
rare_ases_max,0.0
edit_distance_unique_dict_9,0.0
edit_distance_unique_dict_1,0.0
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_0,0.0
edit_distance_unique_dict_5,0.0
edit_distance_unique_dict_4,0.0
edit_distance_unique_dict_2,0.0
edit_distance_unique_dict_10,0.0
edit_distance_unique_dict_3,0.0
