Feature,Score
dups,0.17200918911981872
edit_distance_dict_1,0.07268950392349545
edit_distance_unique_dict_1,0.0665431568794093
edit_distance_dict_0,0.040745364509238095
edit_distance_unique_dict_0,0.03991283606976382
origin_2,0.039729111812109835
imp_wd_dpath,0.038358329121712276
announcements,0.03808813549968704
nlri_ann,0.03429683117592455
imp_wd_spath,0.03382888983385087
origin_0,0.030919310411016032
imp_wd,0.029338382627239465
edit_distance_avg,0.025838037390543085
edit_distance_dict_3,0.025507048289565334
ann_to_longer,0.018540761525527288
edit_distance_unique_dict_3,0.018017266789381422
edit_distance_dict_2,0.01789209903943438
number_rare_ases,0.01760113270868023
nadas,0.017378502479658154
unique_as_path_max,0.016410384472908723
rare_ases_avg,0.01617332845774297
ann_to_shorter,0.016104640610248192
origin_changes,0.015424366393186823
edit_distance_unique_dict_2,0.013836159138314048
flaps,0.013351754380876157
as_path_max,0.0110485119275025
withdrawals,0.010987623657991967
edit_distance_unique_dict_4,0.01070888183792743
edit_distance_dict_5,0.009516057933962523
edit_distance_dict_4,0.009509368546480159
edit_distance_unique_dict_5,0.008109574218212477
edit_distance_max,0.00764781446381934
unique_as_path_avg,0.007144557947811948
as_path_avg,0.006592237619190695
rare_ases_max,0.0060475392697236
edit_distance_unique_dict_7,0.005404029476878746
wd_dups,0.005208880782982305
edit_distance_unique_dict_6,0.004505101397018085
edit_distance_dict_6,0.004443985377887166
edit_distance_unique_dict_8,0.004230689736878412
edit_distance_dict_7,0.003933913301633952
edit_distance_dict_8,0.003434875646231901
news,0.0028042501051741913
edit_distance_unique_dict_10,0.0022539183318248746
origin_1,0.0021037579927568125
edit_distance_dict_9,0.0020906608415236236
edit_distance_unique_dict_9,0.0018810695570998467
edit_distance_dict_10,0.0018581773701552154
