,Count
rare_ases_max,21
edit_distance_dict_1,21
edit_distance_dict_3,21
edit_distance_unique_dict_3,21
edit_distance_unique_dict_10,21
edit_distance_dict_10,21
edit_distance_unique_dict_4,21
edit_distance_dict_4,21
nadas,21
withdrawals,21
flaps,21
news,21
origin_1,21
as_path_avg,21
number_rare_ases,21
as_path_max,21
edit_distance_unique_dict_8,21
edit_distance_dict_8,21
wd_dups,21
origin_changes,21
origin_2,21
edit_distance_unique_dict_9,21
edit_distance_dict_9,21
ann_to_shorter,21
dups,21
ann_to_longer,21
unique_as_path_avg,21
edit_distance_unique_dict_1,21
imp_wd,21
imp_wd_spath,21
rare_ases_avg,21
nlri_ann,21
announcements,21
edit_distance_dict_0,21
edit_distance_unique_dict_0,21
unique_as_path_max,21
origin_0,21
edit_distance_unique_dict_6,21
imp_wd_dpath,21
edit_distance_avg,21
edit_distance_unique_dict_2,21
edit_distance_dict_2,21
edit_distance_dict_5,21
edit_distance_unique_dict_5,21
edit_distance_dict_7,21
edit_distance_unique_dict_7,21
edit_distance_dict_6,21
edit_distance_max,21
