Model,Feature_Type,Feature_Count,F1_Score,Neg_F1_Score,Training_Time,Inference_Time,Complexity,Dataset
Random Forest,Hybrid,5,0.811944468993684,-0.811944468993684,2.6490018367767334,0.09200494289398194,1750,Full_Dataset
Random Forest,Hybrid,10,0.8663224010694209,-0.8663224010694209,3.221363067626953,0.08616130352020264,3500,Full_Dataset
Random Forest,Hybrid,15,0.8736986218932419,-0.8736986218932419,3.1039085388183594,0.08629500865936279,5250,Full_Dataset
Random Forest,Hybrid,20,0.876411765148494,-0.876411765148494,3.5827105045318604,0.08491828441619872,7000,Full_Dataset
Random Forest,Hybrid,25,0.8784957394518343,-0.8784957394518343,4.17508602142334,0.08564934730529786,8750,Full_Dataset
XGBoost,Hybrid,5,0.808075117370892,-0.808075117370892,0.28431057929992676,0.005155301094055176,1000,Full_Dataset
XGBoost,Hybrid,10,0.8602296468574195,-0.8602296468574195,0.29538774490356445,0.006923055648803711,2000,Full_Dataset
XGBoost,Hybrid,15,0.8752748253415722,-0.8752748253415722,0.315657377243042,0.008414030075073242,3000,Full_Dataset
XGBoost,Hybrid,20,0.8849004046880748,-0.8849004046880748,0.33030056953430176,0.009714865684509277,4000,Full_Dataset
XGBoost,Hybrid,25,0.8944965923957213,-0.8944965923957213,0.3556795120239258,0.011075973510742188,5000,Full_Dataset
Random Forest,Full,5,0.74772253444525,-0.74772253444525,2.294053554534912,0.09314792156219483,1750,Full_Dataset
Random Forest,Full,10,0.8261504741115381,-0.8261504741115381,3.071988105773926,0.08799474239349366,3500,Full_Dataset
Random Forest,Full,15,0.8328835663187705,-0.8328835663187705,2.9281394481658936,0.08791525363922119,5250,Full_Dataset
Random Forest,Full,20,0.8350440918103911,-0.8350440918103911,3.3070528507232666,0.088088059425354,7000,Full_Dataset
Random Forest,Full,25,0.8372864331532772,-0.8372864331532772,3.8869564533233643,0.0986971378326416,8750,Full_Dataset
Random Forest,Full,30,0.8359133228845285,-0.8359133228845285,3.7101149559020996,0.09445624351501465,10500,Full_Dataset
Random Forest,Full,35,0.8619447694398615,-0.8619447694398615,3.722076177597046,0.09338119029998779,12250,Full_Dataset
Random Forest,Full,40,0.8592175354837193,-0.8592175354837193,4.1327667236328125,0.09101641178131104,14000,Full_Dataset
XGBoost,Full,5,0.7261005652049827,-0.7261005652049827,0.26367950439453125,0.005141854286193848,1000,Full_Dataset
XGBoost,Full,10,0.8210917879975718,-0.8210917879975718,0.2749969959259033,0.0067214488983154295,2000,Full_Dataset
XGBoost,Full,15,0.8375431178368754,-0.8375431178368754,0.29552602767944336,0.008159947395324708,3000,Full_Dataset
XGBoost,Full,20,0.8410195177266618,-0.8410195177266618,0.32459163665771484,0.009563589096069336,4000,Full_Dataset
XGBoost,Full,25,0.8375553207181518,-0.8375553207181518,0.35532712936401367,0.010962295532226562,5000,Full_Dataset
XGBoost,Full,30,0.838209219858156,-0.838209219858156,0.40674567222595215,0.012604618072509765,6000,Full_Dataset
XGBoost,Full,35,0.8642916293454564,-0.8642916293454564,0.40026354789733887,0.013992500305175782,7000,Full_Dataset
XGBoost,Full,40,0.8698151318555895,-0.8698151318555895,0.4344050884246826,0.015288043022155761,8000,Full_Dataset
