Model,Feature_Type,Feature_Count,F1_Score,Neg_F1_Score,Training_Time,Inference_Time,Complexity,Dataset
Random Forest,Hybrid,5,0.811944468993684,-0.811944468993684,2.6490018367767334,0.09200494289398194,1750,Full_Dataset
Random Forest,Hybrid,10,0.8663224010694209,-0.8663224010694209,3.221363067626953,0.08616130352020264,3500,Full_Dataset
Random Forest,Hybrid,15,0.8736986218932419,-0.8736986218932419,3.1039085388183594,0.08629500865936279,5250,Full_Dataset
Random Forest,Hybrid,20,0.876411765148494,-0.876411765148494,3.5827105045318604,0.08491828441619872,7000,Full_Dataset
Random Forest,Hybrid,25,0.8784957394518343,-0.8784957394518343,4.17508602142334,0.08564934730529786,8750,Full_Dataset
XGBoost,Hybrid,5,0.808075117370892,-0.808075117370892,0.28431057929992676,0.005155301094055176,1000,Full_Dataset
XGBoost,Hybrid,10,0.8602296468574195,-0.8602296468574195,0.29538774490356445,0.006923055648803711,2000,Full_Dataset
XGBoost,Hybrid,15,0.8752748253415722,-0.8752748253415722,0.315657377243042,0.008414030075073242,3000,Full_Dataset
XGBoost,Hybrid,20,0.8849004046880748,-0.8849004046880748,0.33030056953430176,0.009714865684509277,4000,Full_Dataset
XGBoost,Hybrid,25,0.8944965923957213,-0.8944965923957213,0.3556795120239258,0.011075973510742188,5000,Full_Dataset
Random Forest,Full,5,0.74772253444525,-0.74772253444525,2.294053554534912,0.09314792156219483,1750,Full_Dataset
Random Forest,Full,10,0.8261504741115381,-0.8261504741115381,3.071988105773926,0.08799474239349366,3500,Full_Dataset
Random Forest,Full,15,0.8328835663187705,-0.8328835663187705,2.9281394481658936,0.08791525363922119,5250,Full_Dataset
Random Forest,Full,20,0.8350440918103911,-0.8350440918103911,3.3070528507232666,0.088088059425354,7000,Full_Dataset
Random Forest,Full,25,0.8372864331532772,-0.8372864331532772,3.8869564533233643,0.0986971378326416,8750,Full_Dataset
Random Forest,Full,30,0.8359133228845285,-0.8359133228845285,3.7101149559020996,0.09445624351501465,10500,Full_Dataset
Random Forest,Full,35,0.8619447694398615,-0.8619447694398615,3.722076177597046,0.09338119029998779,12250,Full_Dataset
Random Forest,Full,40,0.8592175354837193,-0.8592175354837193,4.1327667236328125,0.09101641178131104,14000,Full_Dataset
XGBoost,Full,5,0.7261005652049827,-0.7261005652049827,0.26367950439453125,0.005141854286193848,1000,Full_Dataset
XGBoost,Full,10,0.8210917879975718,-0.8210917879975718,0.2749969959259033,0.0067214488983154295,2000,Full_Dataset
XGBoost,Full,15,0.8375431178368754,-0.8375431178368754,0.29552602767944336,0.008159947395324708,3000,Full_Dataset
XGBoost,Full,20,0.8410195177266618,-0.8410195177266618,0.32459163665771484,0.009563589096069336,4000,Full_Dataset
XGBoost,Full,25,0.8375553207181518,-0.8375553207181518,0.35532712936401367,0.010962295532226562,5000,Full_Dataset
XGBoost,Full,30,0.838209219858156,-0.838209219858156,0.40674567222595215,0.012604618072509765,6000,Full_Dataset
XGBoost,Full,35,0.8642916293454564,-0.8642916293454564,0.40026354789733887,0.013992500305175782,7000,Full_Dataset
XGBoost,Full,40,0.8698151318555895,-0.8698151318555895,0.4344050884246826,0.015288043022155761,8000,Full_Dataset
Random Forest,Hybrid,5,0.8274848489886856,-0.8274848489886856,1.093303918838501,0.040527510643005374,1750,Class_1
Random Forest,Hybrid,10,0.9116931417142587,-0.9116931417142587,1.255971908569336,0.038781476020812986,3500,Class_1
Random Forest,Hybrid,15,0.9219350440257744,-0.9219350440257744,1.1998977661132812,0.03947227001190186,5250,Class_1
Random Forest,Hybrid,20,0.9219574316853577,-0.9219574316853577,1.3625223636627197,0.0394176721572876,7000,Class_1
Random Forest,Hybrid,25,0.9239957976521327,-0.9239957976521327,1.5588676929473877,0.038544869422912596,8750,Class_1
XGBoost,Hybrid,5,0.8316008758850443,-0.8316008758850443,0.20404624938964844,0.004053425788879394,1000,Class_1
XGBoost,Hybrid,10,0.9116931417142587,-0.9116931417142587,0.16628313064575195,0.005661797523498535,2000,Class_1
XGBoost,Hybrid,15,0.9219574316853577,-0.9219574316853577,0.17601513862609863,0.0067455053329467775,3000,Class_1
XGBoost,Hybrid,20,0.9240239999608656,-0.9240239999608656,0.18100309371948242,0.007993817329406738,4000,Class_1
XGBoost,Hybrid,25,0.928127780269837,-0.928127780269837,0.22759056091308594,0.00935955047607422,5000,Class_1
Random Forest,Full,5,0.7491989983405074,-0.7491989983405074,1.027672529220581,0.043100953102111816,1750,Class_1
Random Forest,Full,10,0.8583090525319644,-0.8583090525319644,1.215472936630249,0.04042472839355469,3500,Class_1
Random Forest,Full,15,0.8685720789233078,-0.8685720789233078,1.195094347000122,0.04150047302246094,5250,Class_1
Random Forest,Full,20,0.8747369884702875,-0.8747369884702875,1.3160970211029053,0.04110660552978516,7000,Class_1
Random Forest,Full,25,0.8788490810186775,-0.8788490810186775,1.5123305320739746,0.039974212646484375,8750,Class_1
Random Forest,Full,30,0.8767967145790554,-0.8767967145790554,1.4463138580322266,0.04047703742980957,10500,Class_1
Random Forest,Full,35,0.9034679659809872,-0.9034679659809872,1.428551435470581,0.039557576179504395,12250,Class_1
Random Forest,Full,40,0.9240207962852564,-0.9240207962852564,1.576155662536621,0.03898124694824219,14000,Class_1
XGBoost,Full,5,0.7572703199270381,-0.7572703199270381,0.23190593719482422,0.004286742210388184,1000,Class_1
XGBoost,Full,10,0.866528648579899,-0.866528648579899,0.18931293487548828,0.005701375007629394,2000,Class_1
XGBoost,Full,15,0.8726888648128684,-0.8726888648128684,0.20437884330749512,0.007202339172363281,3000,Class_1
XGBoost,Full,20,0.8788439724548681,-0.8788439724548681,0.2046804428100586,0.008131313323974609,4000,Class_1
XGBoost,Full,25,0.8767935976128195,-0.8767935976128195,0.22308039665222168,0.009398221969604492,5000,Class_1
XGBoost,Full,30,0.8747401576398414,-0.8747401576398414,0.23872852325439453,0.011182260513305665,6000,Class_1
XGBoost,Full,35,0.917826362132394,-0.917826362132394,0.2258896827697754,0.012054681777954102,7000,Class_1
XGBoost,Full,40,0.9424949496628953,-0.9424949496628953,0.23636627197265625,0.0133772611618042,8000,Class_1
Random Forest,Hybrid,5,0.8529255374979392,-0.8529255374979392,1.1312329769134521,0.04049704074859619,1750,Class_2
Random Forest,Hybrid,10,0.8758511717715158,-0.8758511717715158,1.313441276550293,0.03930974006652832,3500,Class_2
Random Forest,Hybrid,15,0.8864603651474264,-0.8864603651474264,1.2597324848175049,0.039284157752990725,5250,Class_2
Random Forest,Hybrid,20,0.892856946740294,-0.892856946740294,1.45045804977417,0.03925318717956543,7000,Class_2
Random Forest,Hybrid,25,0.8990621961988281,-0.8990621961988281,1.6437568664550781,0.03856196403503418,8750,Class_2
XGBoost,Hybrid,5,0.8516480801019457,-0.8516480801019457,0.228379487991333,0.004132604598999024,1000,Class_2
XGBoost,Hybrid,10,0.8540210864910783,-0.8540210864910783,0.20400619506835938,0.0063568115234375,2000,Class_2
XGBoost,Hybrid,15,0.8786935789151216,-0.8786935789151216,0.5030918121337891,0.006788992881774902,3000,Class_2
XGBoost,Hybrid,20,0.9012950267302556,-0.9012950267302556,0.2137444019317627,0.008490419387817383,4000,Class_2
XGBoost,Hybrid,25,0.91981439962186,-0.91981439962186,0.2274608612060547,0.00943446159362793,5000,Class_2
Random Forest,Full,5,0.814032826046464,-0.814032826046464,0.9887588024139404,0.04165449142456055,1750,Class_2
Random Forest,Full,10,0.8522907635720058,-0.8522907635720058,1.2413041591644287,0.039720559120178224,3500,Class_2
Random Forest,Full,15,0.8648990936816056,-0.8648990936816056,1.2215297222137451,0.040688157081604004,5250,Class_2
Random Forest,Full,20,0.860986661425679,-0.860986661425679,1.3408524990081787,0.039887738227844236,7000,Class_2
Random Forest,Full,25,0.8568370095279381,-0.8568370095279381,1.5413761138916016,0.039438056945800784,8750,Class_2
Random Forest,Full,30,0.8589707365957755,-0.8589707365957755,1.4885644912719727,0.04014942646026611,10500,Class_2
Random Forest,Full,35,0.8904497331259695,-0.8904497331259695,1.5122754573822021,0.039735960960388186,12250,Class_2
Random Forest,Full,40,0.9050677531737423,-0.9050677531737423,1.659973382949829,0.03966095447540283,14000,Class_2
XGBoost,Full,5,0.7981705010357262,-0.7981705010357262,0.2124617099761963,0.004279994964599609,1000,Class_2
